Date_,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY
2022-01-06,441.427978515625,444.1448112867114,439.0601780901141,441.3808228754029,86858900
2022-01-07,439.68280029296875,442.61661242591146,438.3243838694435,441.43743350191716,85111600
2022-01-10,439.1356506347656,439.35260112059655,430.73046025596256,436.48485885738484,119362000
2022-01-11,443.1354675292969,443.22980760686403,435.87171338487093,438.87156663562837,74303100
2022-01-12,444.3334655761719,446.38997545502053,442.3713245554861,444.87117806328797,67605400
2022-01-13,438.2112121582031,446.0881335750446,437.1829715327748,445.43722446899045,91173100
2022-01-14,438.3904724121094,438.7395048053525,433.843551078094,435.0604719206195,95890900
2022-01-18,430.6266784667969,433.9000801446297,429.51354052849086,433.6925435130348,109709100
2022-01-19,426.1552734375,433.5699368723863,425.88169585972383,432.1738074172843,109357600
2022-01-20,421.4385986328125,432.7492750334753,419.3160763117743,428.04200140937587,122379700
2022-01-21,413.1654357910156,422.6743219055185,413.1371366485651,420.31596407281415,202271200
2022-01-24,414.91998291015625,415.42939619247676,396.9210110831176,407.5524763611368,251783900
2022-01-25,409.8543395996094,414.8068916212734,402.9490601572942,408.52422217345065,167997300
2022-01-26,408.8260803222656,418.8821222815148,404.56215063672164,415.7502159505603,186391100
2022-01-27,406.8072814941406,416.5708886311564,405.11871802199556,413.4295686804275,149878300
2022-01-28,416.9105224609375,416.95767810367454,403.5810789597359,408.1657129140467,164457400
2022-01-31,424.4195556640625,424.7685880526655,414.89178329232885,416.2407572007058,152251400
2022-02-01,427.28729248046875,427.9287589149775,421.61779092107525,425.1458850994215,123155400
2022-02-02,431.4379577636719,432.16432156191325,427.3815652994968,429.6927673307446,117361000
2022-02-03,421.29705810546875,427.3061493870198,420.45746888036115,425.4006065808514,118024400
2022-02-04,423.278076171875,427.12690349554987,418.68397092224063,421.0612140470099,118454400
2022-02-07,421.9196472167969,425.43829858096694,420.58952998140325,424.04216920738406,84472900
2022-02-08,425.39117431640625,426.31566099325914,419.9952501952537,421.41970760411243,81012000
2022-02-09,431.6172790527344,431.9380123033958,429.23062177963686,429.42871580152007,92589900
2022-02-10,423.86297607421875,431.7776105996194,421.86309308439786,425.7685189857641,140103700
2022-02-11,415.5049133300781,426.0231836326423,414.0710421144383,423.947845988049,153214600
2022-02-14,414.14642333984375,416.5802643417421,410.6749280942271,414.9954550498575,123006300
2022-02-15,420.8253173828125,420.9951122132897,418.0707431602709,418.58959908256503,88482700
2022-02-16,421.29705810546875,422.6743310487677,416.90107555558865,418.7783192186944,84863600
2022-02-17,412.29754638671875,421.2687487717077,411.693821753136,418.10854352626,102259100
2022-02-18,409.6279296875,413.8069331704449,407.3544691120626,412.5522705879942,132642900
2022-02-22,405.23193359375,410.8259516984403,401.7321096953835,407.4204966635997,124391800
2022-02-23,398.0436706542969,408.7128798332859,397.47765898241863,408.14686816140767,132578000
2022-02-24,404.0338439941406,404.46780255410187,387.3744299437548,387.732876144503,213942900
2022-02-25,412.9484558105469,413.0333532377554,403.6187784215898,405.2696289017005,121804500
2022-02-28,411.8919677734375,413.3730235849013,406.29794921127944,407.5525830665725,145615000
2022-03-01,405.6187438964844,412.40138421552143,402.91132456726035,410.39205847249923,137785900
2022-03-02,413.0805358886719,414.8068411449072,407.1186004140651,407.8732634005898,117726500
2022-03-03,411.0240478515625,416.1180952528959,409.22225892771945,415.51437058927706,105501700
2022-03-04,407.6845703125,408.8165646764018,403.6376206493303,407.2883535725804,113978200
2022-03-07,395.66644287109375,407.80726559886233,395.6004019359383,407.09975817846976,137896600
2022-03-08,392.66656494140625,403.0055972451965,391.60058263341585,395.84562657872834,164772700
2022-03-09,403.1943054199219,405.1753318232111,398.8643637492097,401.05292680024445,116990800
2022-03-10,401.3735656738281,402.2697241963795,396.61910918123664,398.5812498353384,93972700
2022-03-11,396.2701416015625,404.4772092709991,395.7607282684723,403.8640420157582,95636300
2022-03-14,393.3739929199219,400.49622036504604,392.2325560612095,397.04361065319006,95729200
2022-03-15,402.02459716796875,402.6566210107506,394.71368713234256,395.9871774625465,106219100
2022-03-16,410.93914794921875,410.99574623645054,400.7321679197033,405.53380999874116,144954800
2022-03-17,416.0803527832031,416.0803527832031,408.6468044640496,409.02413595065417,102676900
2022-03-18,420.6375427246094,420.95927229277345,413.72975679136624,414.4678490660908,106345500
2022-03-21,420.5146484375,422.47341335215924,417.00395167542,420.46731741839125,88349800
2022-03-22,425.43524169921875,426.37204353660803,421.9056299675631,421.9056299675631,74650400
2022-03-23,419.95623779296875,424.39426355842147,419.87107662912183,422.8991638853642,79426100
2022-03-24,426.2868347167969,426.29630669485863,420.8647048360825,421.9813008840571,64736900
2022-03-25,428.3686828613281,428.64311034533864,424.3375472885619,426.92088512262796,77101300
2022-03-28,431.4156799316406,431.4156799316406,425.8799725760659,427.7725201247763,68529800
2022-03-29,436.7525939941406,437.2446747767382,432.61738274150923,435.3047964568444,86581500
